	Tiếng Việt	Українська	日本語	한국어	UI language name	
920	Em luôn tự hỏi làm ninja thì sẽ như thế nào. Lẻn lút trong bóng tối, ném phi tiêu, và làm những cú lộn nhào. Sẽ thật tuyệt vời.	Мені завжди було цікаво, як це - бути ніндзя. Крастися в тіні, кидати сюрікени, робити сальто. Це було б так неймовірно круто.	忍者になったらどんな感じかなってずっと考えてました。物陰から忍び寄って、手裏剣を投げて、宙返りして。きっとクールでしょうね。	닌자의 삶은 어떨지 항상 궁금했어요. 그늘 속을 누비고 다니면서 수리검을 던지고 공중제비도 돌고. 정말 멋질 것 같아요.	Amy	
921	Có vẻ Amy đã uống hơi nhiều.	Здається, Емі трохи хильнула зайвого.	恵美は少し飲みすぎたようだ。	메구미가 조금 과음한 것 같다.	In-game message (like player's thoughts)	
922	Chờ đến khi sửa chữa hoàn tất.	Дочекайтеся закінчення ремонту.	修理が終わるまで待ってください。	수리가 끝날 때까지 기다리세요.	UI	
923	Bạn có muốn mang xe đi sửa không? ##Sẽ mất <remont_price>.	Ви хочете здати машину в ремонт?##Це буде коштувати вам <remont_price>.	車を修理に出しますか？##修理代は<remont_price>になります。	차를 수리하시려고요? ##<remont_price> 되겠습니다.	UI	
924	Xe của bạn không thể lái được nữa.	Ваше авто більше не може їздити.	車はもう乗ることができません。	자동차를 운전할 수 없으세요.	Amy	
925	Xe	Автомобілі	自動車	차량	UI	
926	Một nhóm gấu trúc đỏ đã trốn thoát khỏi sở thú địa phương và hiện đang chạy nhảy trên đường phố. Các quan chức đang kêu gọi người dân ở trong nhà và tránh xa những con vật này.	Група червоних панд втекла з місцевого зоопарку і тепер дичавіє на вулицях міста. Влада закликає мешканців не виходити на вулицю та сторонитися тварин.	レッサーパンダの群れが近隣の動物園から逃げ出し、路上で暴れています。当局は動物たちを避けて屋内にとどまるよう住民に呼びかけています。	흉폭한 레서팬더들이 동물원을 탈출해 거리에서 멋대로 돌아다니고 있습니다. 당국에서는 주민들이 이 동물들을 피해 실내에 머물 것을 촉구하고 있습니다.	It's a in-game news.	
927	Một nhà hàng địa phương vừa tung ra một món ăn mới cay đến mức phải dán nhãn cảnh báo. Khách hàng được yêu cầu ký vào giấy cam kết trước khi thử món này.	Місцевий ресторан представив нову страву в меню, яка є настільки гострою, що на ній з'явилася попереджувальна етикетка. Відвідувачів закликають підписати відмову від відповідальності перед тим, як скуштувати новинку.	地元のレストランが、警告ラベルが付くほど辛い新メニューを発売しました。来店客は注文時に免責同意書にサインするよう求めらるそうです。	어느 식당에서 경고 라벨을 따로 붙여야 할 정도로 메콤한 신메뉴를 출시했습니다. 이 메뉴를 주문한 손님들은 먹기 전에 우선 합의서에 서명을 해야 한다고 합니다.	It's a in-game news.	
928	Một ban nhạc địa phương đã lập kỷ lục với buổi hòa nhạc dài nhất, chơi liên tục hơn 24 giờ. Người hâm mộ được cho là phấn khích đến mê man.	Місцевий гурт встановив новий рекорд найдовшого безперервного концерту, граючи понад 24 години поспіль. Як повідомляється, фанати шаленіють від захвату.	地元のバンドが連続演奏24時間超えの最長記録を打ち立てました。ファンたちは興奮のあまり錯乱状態になっている模様です。	한 지역 밴드가 24시간 연속 연주를 선보이며 최장시간 연속 콘서트 신기록을 세웠습니다. 팬들은 흥분에 겨워 정신이 나가 버렸다고 합니다.	It's a in-game news.	
929	Một trung tâm game mới cài đặt một trò chơi gây nghiện đến mức khiến người chơi bỏ học và bỏ việc để chơi.	У місцевому ігровому залі встановили нову гру, яка викликає настільки сильну залежність, що гравці пропускають школу і роботу, щоб пограти в неї.	地元のゲームセンターに新しいゲームが設置されたところ、あまりに中毒性が高いため、学校や仕事をサボってまでゲームをプレイする人たちが続出しているとのことです。	어느 오락실에서 새로 설치한 신작 게임의 중독성이 어마어마하여, 학교도 직장도 빼먹고 게임에 몰두하는 사람들이 속출하고 있습니다.	It's a in-game news.	
930	Một quả bóng Pachinko khổng lồ gây náo loạn và làm thích thú người dân Tokyo. Sau khi thoát ra từ một trung tâm game, nó đã nảy khắp thành phố trong nhiều giờ. Hãy theo dõi thêm tin tức về sự kiện kỳ lạ này.	Величезна куля пачінко сіє хаос і водночас розважає місцевих жителів Токіо. Вирвавшись з ігрового залу, вона годинами стрибає по всьому місту. Слідкуйте за новинами про цю химерну подію.	巨大なパチンコ玉が東京の街に大きな混乱を引き起こし、人々を驚かせています。都内のパチンコ店から転げ出たこの巨大パチンコ玉は、何時間にも及んで街中を跳ね回っています。このおかしな出来事については今後のニュースをお待ちください。	거대 파칭코 구슬이 도쿄 시내를 누비며 시민들에게 큰 혼란과 웃음을 선사하고 있습니다. 오락실에서 튀어나온 이 구슬은 벌써 몇 시간째 도시 곳곳을 튕기고 있는데요. 이 엉뚱한 사건의 후속 보도도 기대해 주세요.	It's a in-game news.	
931	gấu trúc đỏ	червоні панди	レッサーパンダ	레서팬더	Part of in-game news (line 120)	
932	Một xu hướng thời trang mới đã xuất hiện, lấy cảm hứng từ những video âm nhạc mới nhất của làng nhạc pop Nhật Bản. Xu hướng này nổi bật với trang phục màu sắc rực rỡ và trang điểm táo bạo.	З'явився новий модний тренд, натхненний останніми музичними кліпами японської поп-музичної сцени. Тренд передбачає яскравий одяг і сміливий макіяж.	日本のポップスシーンの最新ミュージックビデオに触発された新しいファッショントレンドが登場しました。鮮やかな色彩の服と大胆なメイクが特徴です。	최신 J팝 뮤직 비디오로부터 촉발된 새로운 패션 유행이 등장했습니다. 이번 유행은 밝은 색상의 의상과 대담한 메이크업이 특징입니다.	It's a in-game news.	
933	Một trung tâm thương mại địa phương đã thông báo đợt giảm giá lớn cho các thiết bị điện tử mới nhất, bao gồm máy tính cá nhân, máy chơi game và hệ thống rạp hát tại nhà.	Місцевий універмаг оголосив масовий розпродаж новітніх електронних гаджетів, включаючи персональні комп'ютери, ігрові приставки та системи домашнього кінотеатру.	地元のデパートが、パソコン、ゲーム機、ホームシアターシステムなど最新電子機器の大規模セール開催を発表しました。	한 지역 백화점에서 PC, 게임 콘솔, 홈 시어터 시스템 등 최신 전자 기기의 대대적인 세일을 실시한다고 발표했습니다.	It's a in-game news.	
934	Một trung tâm game đã cài đặt một trò chơi mới gây chú ý - mô phỏng thực tế ảo về suối nước nóng. Người chơi được cảnh báo phải cẩn thận không làm rơi tay cầm xuống nước.	У місцевому ігровому залі з'явилася нова гра, що викликає ажіотаж - симулятор гарячих джерел у віртуальній реальності. Гравців попереджають бути обережними і не упускати контролери у воду.	地元のゲームセンターに、温泉の仮想現実シミュレーションという新しいゲームが設置され、話題を呼んでいます。プレイヤーはコントローラーを水に落とさないように気をつけるよう警告されているそうです。	한 지역 오락실에서 온천 가상현실 게임이라는 신작을 설치하면서 뜨끈한 반응을 모으고 있습니다. 플레이어는 컨트롤러를 물에 떨어뜨리지 않도록 주의해야 한다는 경고 문구도 적혀 있다는군요.	It's a in-game news.	
935	Một hộp đêm địa phương đã lắp đặt sàn nhảy mới với hiệu ứng ánh sáng hiện đại và quả cầu disco khổng lồ. Theo báo cáo, khách hàng đắm chìm trong âm nhạc và quên cả giờ về.	У місцевому нічному клубі встановили новий танцпол з найсучаснішими світловими ефектами та гігантською диско-кулею. Як повідомляється, відвідувачі губляться в танцях і втрачають орієнтацію, не в змозі вийти з клубу.	地元のナイトクラブが、最先端の照明効果と巨大なディスコボールを備えた新しいダンスフロアをお披露目しました。来店した人たちは音楽に夢中になり、帰る時間を忘れてしまうほどだそうです。	지역 나이트클럽에 최첨단 조명 효과와 거대한 디스코 볼을 갖춘 새로운 댄스 플로어가 설치되었습니다. 손님들은 음악에 흠뻑 빠져 퇴근하는 시간도 잊어버린다고 하네요.	It's a in-game news.	
936	Một hãng xe hơi lớn đã giới thiệu mẫu sedan hạng sang mới nhất - một chiếc xe đi kèm với quản gia riêng, người sẽ cung cấp nhiều dịch vụ concierge cho hành khách.	Один з найбільших автовиробників представив свій новітній розкішний седан - автомобіль, який поставляється з особистим дворецьким, що пропонує пасажирам цілий ряд консьєрж-послуг.	大手自動車メーカーが最新の高級セダンを発表しました。この車には、専属のバトラーがついており、乗客にさまざまなコンシェルジュサービスを提供してくれるそうです。	한 대형 자동차 기업에서 최신 고급 세단을 발표했습니다. 이 차에는 전담 집사도 함께 딸려와 승객에게 다양한 컨시어지 서비스를 제공한다고 한다고 합니다.	It's a in-game news.	
937	Một trung tâm thương mại địa phương đã thông báo đợt giảm giá lớn cho các phụ kiện thời trang mới nhất, bao gồm mũ độc đáo, thắt lưng bắt mắt và kính mát táo bạo.	Місцева крамниця оголосила про масовий розпродаж найновіших модних аксесуарів, зокрема капелюхів, яскравих ременів та епатажних сонцезахисних окулярів.	地元のデパートが、斬新な帽子やど派手なベルト、ぶっ飛んだサングラスなど、最新のファッションアクセサリーの大セール開催を発表しました。	한 지역 백화점에서 고급 모자, 번쩍이는 벨트, 그리고 획기적인 선글라스 등 최신 패션 악세사리의 대대적인 세일을 실시한다고 발표했습니다.	It's a in-game news.	
938	Một nhà hát địa phương đã thông báo về vở diễn mới của một vở kịch cổ điển Nhật Bản, với dàn diễn viên là những chú mèo được huấn luyện. Giới phê bình tán dương về màn trình diễn miu miu này.	Місцевий театр оголосив про нову постановку класичної японської п'єси, в якій акторами будуть дресировані коти. Критики в захваті від муркотливої вистави.	地元の劇場が、訓練された猫たちを役者に起用した日本の古典劇の最新公演を発表しました。演劇評論家たちはそのニャン劇を絶賛しています。	한 지역 극장에서 연기 훈련을 받은 고양이가 주연으로 출연하는 일본 고전 연극을 시연해 보였습니다. 평론계에서는 이 냥이 연극에 극찬을 쏟아내고 있습니다.	It's a in-game news.	
939	Một xu hướng thời trang mới đã xuất hiện, lấy cảm hứng từ những video âm nhạc mới nhất của làng nhạc pop Nhật Bản. Xu hướng này nổi bật với áo khoác oversize, quần cạp cao và kiểu tóc to.	З'явився новий модний тренд, натхненний останніми музичними кліпами японської поп-музичної сцени. У тренді - великі куртки, штани із завищеною талією та великі зачіски.	日本のポップスシーンの最新ミュージックビデオに触発された新しいファッショントレンドが登場しました。オーバーサイズのジャケット、ハイウエストのパンツ、ビッグヘアーが特徴です。	최신 J팝 뮤직 비디오로부터 촉발된 새로운 패션 유행이 등장했습니다. 이번 유행은 오버사이즈 재킷과 하이 웨이스트 팬츠, 그리고 풍성한 헤어스타일이 특징입니다.	It's a in-game news.	
940	Bạn tình cờ gặp một quầy hàng ăn đường phố bán takoyaki và yakitori. Chỉ riêng mùi thơm thôi đã đủ khiến bạn chảy nước miếng.	Ви натрапляєте на вуличного торговця, який продає такоякі та якіторі. Одного лише аромату достатньо, щоб у вас потекли слинки з рота.	たこ焼きや焼き鳥を売る屋台に出くわしました。香ばしい香りに誘われます。	타코야키와 야키토리를 파는 포장마차를 발견했습니다. 냄새가 너무 고소해서 입에 침이 고일 정도입니다.	In-game message	
941	Ngon	Смакота	おいしい	맛있다	UI	
942	Bạn phát hiện một nhà hàng sushi ẩn mình trong một con hẻm yên tĩnh. Nhà hàng nhỏ và giản dị, nhưng chất lượng món ăn thì tuyệt vời.	Ви відкриваєте для себе справжню перлину серед суші-ресторанів, заховану в тихому провулку. Заклад невеликий і невибагливий, але якість страв у ньому неперевершена.	静かな路地にひっそり佇む隠れた寿司の名店を見つけました。店はこじんまりとしていて地味ですが、寿司の質は最上級です。	조용한 골목길에서 발견한 초밥집이 알고 보니 숨은 맛집이었습니다. 식당 규모는 작고 소박하지만 맛 하나는 정말 뛰어납니다.	In-game message	
943	Bạn tham dự một buổi biểu diễn shamisen trực tiếp bởi một nghệ sĩ tài năng. Những giai điệu và nhịp điệu phức tạp của nhạc công đưa bạn đến một không gian và thời gian khác.	Ви потрапляєте на живий виступ талановитого музиканта, що грає на шямісені. Хитромудрі мелодії і ритми музиканта переносять вас в інший час і місце.	才気あふれる三味線奏者の生演奏を聴きに行きました。三味線奏者の複雑なメロディーとリズムが、あなたを別の時空へといざないます。	실력 있는 샤미센 연주자의 연주회에 참석했습니다. 복잡한 가락과 박자에 심취해 있으니 정신이 다른 시공으로 떠나가는 것만 같았습니다.	In-game message	
944	Bạn tham quan một triển lãm bảo tàng giới thiệu lịch sử và nghệ thuật thư pháp Nhật Bản. Những nét bút phức tạp và những ký tự đẹp làm say mê người xem.	Ви відвідуєте музейну виставку, яка демонструє історію та мистецтво японської каліграфії. Складні мазки та красиві ієрогліфи зачаровують.	書道の歴史と芸術を紹介する博物館を訪れ、繊細な筆づかいと美しい字形に魅了されました。	서예의 역사와 예술을 소개하는 박물관에 방문하여 섬세한 붓놀림과 아름다운 서체를 마음껏 감상하고 왔습니다.	In-game message	
945	Triển lãm	Виставка	展覧会	전시회	UI	
946	Bạn tham gia một buổi lễ trà truyền thống, nơi mỗi cử chỉ và động tác đều mang đầy ý nghĩa và biểu tượng. Bầu không khí yên bình và hương vị tinh tế của trà là sự nghỉ ngơi đáng quý giữa cuộc sống hiện đại bận rộn.	Ви берете участь у традиційній чайній церемонії, де кожен жест і рух пронизаний змістом і символізмом. Заспокійлива атмосфера і витончені аромати чаю є жаданим перепочинком від метушні сучасного життя.	伝統的な茶道に参加しました。ひとつひとつの所作や動きに深い意味が込められています。落ち着いた雰囲気とお茶の繊細な味わいは、現代生活の喧騒から解放されるひとときです。	전통 다도회에 참여했습니다. 동작 하나하나에 심도 있는 의미가 담겨져 있다더군요. 차분한 분위기와 섬세한 차의 풍미를 즐기다 보니 번잡한 일상을 잠시나마 잊을 수 있었습니다.	In-game message	
947	Bạn khám phá một izakaya mới, một quán bar ấm cúng phục vụ những món ăn nhỏ ngon miệng và đồ uống giải khát. Bầu không khí thân thiện và trang trí ấm cúng khiến bạn cảm thấy như ở nhà.	Ви відкриваєте для себе нову ізакаю - затишний бар, де подають смачні невеликі страви та освіжаючі напої. Дружня атмосфера та затишний декор дозволяють відчути себе як вдома.	美味しい小皿料理や爽やかな飲み物を出す居心地の良い居酒屋を新たに発見しました。和やかな雰囲気と居心地の良い内装で、まるで家にいるようなくつろいだ気分になれます。	맛 좋은 안주와 상쾌한 음료를 제공하는 아늑한 이자카야를 새로 발견했습니다. 편안한 분위기와 아늑한 인테리어 덕분에 마치 집처럼 포근한 느낌을 받을 수 있었습니다.	In-game message	
948	Izakaya	Ізакая	居酒屋	이자카야	UI	
949	Bạn đã ghé thăm một onsen, nơi bạn ngâm mình trong làn nước ấm, giàu khoáng chất và thư giãn trong khung cảnh thanh bình. Trải nghiệm này khiến bạn cảm thấy tràn đầy sinh lực và sảng khoái.	Ви відвідали онсен, де поніжилися в теплих, багатих мінералами водах і розслабилися в спокійній обстановці. Цей відпочинок дарує вам відчуття молодості та свіжості.	ミネラルを豊富に含んだ温泉にじっくり浸かり、落ち着いた雰囲気の中でくつろぎました。一世代若返ってリフレッシュした気分です。	온천에 방문해 뜨끈한 광천수에 몸을 담그고 차분한 분위기 속에서 휴식을 취했습니다. 덕분에 새로운 활력이 샘솟는 상쾌한 기분이 되었습니다.	In-game message	
950	Suối nước nóng	Онсен	温泉	온천	UI	
951	Bạn ghé thăm một quán cà phê mèo và ngay lập tức được vây quanh bởi một nhóm mèo tinh nghịch và thân thiện. Bạn dành cả buổi chiều để chơi với chúng và ra về với cảm giác hạnh phúc và thư giãn.	Ви заходите до котячого кафе і одразу ж опиняєтеся в оточенні групи грайливих і ласкавих котів. Ви проводите з ними цілий день, граючись, і йдете звідти щасливі та розслаблені.	猫カフェを訪れると、すぐに遊び好きで愛情深い猫たちに囲まれました。午後は猫たちと遊んで過ごし、リラックスして幸せな気分で帰りました。	고양이 카페에 발을 들이자마자 발랄하고 사랑스러운 고양이들에게 포위 당하고 말았습니다. 꼼짝없이 점심 내내 갇혀 있다가 충만한 행복감을 느낀 후에야 풀려날 수 있었습니다.	In-game message	
952	Mèo	Коти	猫	고양이	UI	
953	Bạn khám phá một khu vườn địa phương với nhiều loại cây và hoa độc đáo. Bầu không khí yên bình và vẻ đẹp tự nhiên của khu vườn khiến bạn cảm thấy thoải mái và sảng khoái.	Ви відкриваєте для себе місцевий сад, де ростуть різноманітні екзотичні рослини та квіти. Безтурботна атмосфера і природна краса саду дарують вам відчуття спокою і бадьорості.	数々のエキゾチックな植物や花が植えられている地元の庭園を見つけました。庭園の落ち着いた雰囲気と自然の美しさは、心が安らぎ、すがすがしい気分にさせてくれます。	다양하고 이국적인 식물과 꽃을 심은 정원을 발견했습니다. 정원이 풍기는 평온한 분위기와 자연미 덕분에 마음이 안정되고 상쾌한 기분을 느낄 수 있었습니다.	In-game message	
954	Vườn	Сад	庭園	정원	UI	
955	Bạn xem một buổi diễn của đoàn kịch truyền thống và thưởng thức các vở kịch cổ điển như Kabuki hay Noh. Những bộ trang phục công phu và màn trình diễn tuyệt vời khiến bạn kinh ngạc.	Ви відвідуєте виставу традиційного театру і бачите класичні п'єси, такі як Кабукі та Но. Вишукані костюми та захопливі вистави вражають вас до глибини душі.	伝統芸能の演劇の公演に行き、歌舞伎や能などの古典劇を鑑賞しました。趣向を凝らした衣装やあでやかな演技に酔いしれました。	전통 공연을 보러 가서 가부키와 노 등 각종 고전 연극들을 감상했습니다. 화려한 의상과 연기에 한껏 취할 수 있던 시간이었습니다.	In-game message	
956	Hiệu suất	Вистава	演技	공연	UI	
957	Bạn nhận được cuộc gọi từ một người lạ tự xưng là bậc thầy ninja, đề nghị dạy cho bạn nghệ thuật ninjutsu.	Вам телефонує незнайомець, який називає себе майстром ніндзя і пропонує навчити вас мистецтву ніндзюцу.	忍者の達人だという見知らぬ男から電話がかかってきて、忍術を教えると言われました。	자기가 닌자의 달인이라고 주장하면서 인술을 가르쳐 주겠다는 전화가 걸려왔습니다.	In-game message	
958	Bạn tình cờ gặp một máy bán hàng tự động với những món ăn vặt lạ lùng như khoai tây chiên vị bạch tuộc hay sô cô la wasabi. Bạn không thể cưỡng lại việc thử tất cả chúng.	Ви натрапляєте на торговий автомат, який видає чудернацькі та незвичні закуски, наприклад, чіпси зі смаком восьминога або шоколадки з васабі. Ви не можете втриматися, щоб не спробувати їх усі.	タコ味のチップスやわさびチョコレートなど、風変わりで珍しいスナック菓子の自販機に出くわし、ついつい全部買ってみたくなりました。	문어맛 감자칩, 와사비맛 초콜렛처럼 온갖 기발하고 특이한 자판기를 발견했습니다. 하나씩 다 먹어보고 싶다는 충동을 참을 수가 없었습니다.	In-game message	
959	Bạn vô tình nghe được cuộc tranh luận sôi nổi giữa hai người dân địa phương trên tàu về một quyết định chính trị gần đây. Sự nhiệt huyết và năng lượng của họ thật ấn tượng, dù bạn không thể hiểu hết chi tiết.	У потязі ви чуєте палку суперечку між двома місцевими жителями, які обговорюють значення нещодавнього політичного рішення. Їхні пристрасть та енергія вражають, навіть якщо ви не можете вловити всіх деталей.	電車の中で、地元の住民二人が最近の政治決断の是非について議論を交わしているのを耳にしました。詳細はよくわかりませんでしたが、二人の情熱とエネルギーはとても印象的でした。	열차를 타고 가던 도중 승객 두 명이 최근의 정치적 상황에 대하여 열띤 논쟁을 벌이는 걸 듣게 되었습니다. 자세한 내용까지는 알 수 없었지만 일단 두 사람의 열정과 에너지는 매우 인상적이었습니다.	In-game message	
960	Đời thường	Життєвий випадок	日常のひとコマ	삶의 한 단면	UI	
961	Bạn bị lạc trong một khu chợ Nhật Bản nhộn nhịp và hỏi đường một chủ cửa hàng thân thiện. Họ không chỉ chỉ đường mà còn gợi ý những điểm tham quan địa phương khác đáng ghé thăm.	Ви загубилися на галасливому японському базарі і запитуєте дорогу у люб'язного продавця. Він не лише вказує вам дорогу, але й пропонує інші місцеві визначні пам'ятки, які варто відвідати.	賑やかな市場で道に迷い、親切な店員に道を尋ねると、道を教えてくれただけでなく、地元の他の観光スポットもくわしく教えてくれました。	북적거리는 시장에서 길을 잃는 바람에 친절한 점원에게 길을 물었더니, 단순히 길 뿐만 아니라 근처의 다른 관광명소도 상세하게 알려 주었습니다.	In-game message	
962	Bạn nghe trộm được cuộc thảo luận của người dân địa phương về đạo đức của việc điều khiển robot khổng lồ và liệu có nên sử dụng chúng cho mục đích quân sự hay không.	Ви чуєте, як містяни обговорюють етичність пілотування гігантських роботів і те, чи правильно використовувати їх у військових цілях.	巨大ロボットを操縦することの倫理性や、軍事目的で使用することの是非について、地元住民が議論しているのを耳にしました。	거대 로봇의 조종과 군사적 활용이 과연 윤리적으로 옳은지에 대한 담론에 대해 우연히 듣게 되었습니다.	In-game message	
963	Bạn thấy một nhóm trẻ mặc quần áo sặc sỡ đang chơi một trò chơi liên quan đến ném bóng vào nhau trong khi tránh các chướng ngại vật.	Ви бачите групу дітей, одягнених у барвисте вбрання, які граються в перекидання м'ячів один в одного, ухиляючись від перешкод.	カラフルな衣装に身を包んだ子どもたちが、障害物をよけながらボールを投げ合うゲームをしているのを見ました。	알록달록한 옷을 입은 아이들이 장애물을 피하면서 공 던지는 놀이를 하고 있었습니다.	In-game message	
964	Bạn chứng kiến một nhóm nghệ sĩ đường phố biểu diễn một màn trình diễn ấn tượng với các màn nhào lộn, tung hứng và ảo thuật.	Ви бачите групу вуличних артистів, які влаштовують яскраве шоу з акробатикою, жонглюванням і магічними трюками.	大道芸人のグループが曲芸、ジャグリング、手品などの華やかなショーを披露しているのを見かけました。	길거리 공연자들이 멋진 공중제비와 저글링, 그리고 마법 공연을 선보이는 모습을 구경했습니다.	In-game message	
965	Bạn nhận thấy một quán mì nhỏ phục vụ những bát ramen ngon lành, giống như trong một bộ anime nổi tiếng về một chàng trai trẻ mơ ước trở thành đầu bếp bậc thầy.	Ви помічаєте невеличку локшинову їдальню, де подають смачні миски з раменом, точнісінько як у відомому аніме-серіалі про юнака, який мріє стати шеф-кухарем.	料理長を夢見る青年を描いた有名なアニメシリーズに出てくるような、おいしいラーメンを出す小さなラーメン屋を発掘しました。	주방장을 꿈꾸는 한 청년의 모습을 그린 유명 애니메이션 시리즈에서처럼 맛있는 라멘을 파는 작은 라멘집을 발견했습니다.	In-game message	
966	Bạn nhận được cuộc gọi từ người bán hàng qua điện thoại cố gắng bán cho bạn một sản phẩm hứa hẹn mang lại sức mạnh siêu phàm.	Вам телефонує представник телемагазину, який намагається продати вам продукт, здатний надати вам надлюдську силу.	超人的な力が得られるという商品を売りつけようとする電話勧誘の電話を受けました。	초인적인 힘을 준다는 제품의 판촉 전화를 받았습니다.	In-game message	
967	Bạn nhận được cuộc gọi từ một hệ thống tin nhắn tự động tự xưng là từ chính phủ và cảnh báo bạn về khả năng người ngoài hành tinh xâm lược.	Ви отримуєте дзвінок від автоматизованої системи повідомлень, яка стверджує, що належить уряду, і попереджає вас про можливе вторгнення прибульців.	政府を名乗ってエイリアンの侵略があるかもしれないと警告する自動メッセージの電話を受けました。	자신이 정부 기관 사람이라면서 외계인의 침공 가능성에 대해 경고하는 자동 메시지가 전화로 도착했습니다.	In-game message	
968	Tôi là nhà chiêm tinh, và tôi có một thông điệp đặc biệt dành cho bạn. Số phận đang chờ đợi bạn, và bạn phải bắt đầu một hành trình để thực hiện tiềm năng thực sự của mình. Bạn đã sẵn sàng khám phá mục đích thực sự trong cuộc sống của mình chưa?	Я провидиця і маю для вас особливе пророцтво. Ваша доля чекає, і ви повинні вирушити в подорож, щоб реалізувати свій справжній потенціал. Чи готові ви відкрити для себе своє справжнє призначення в житті?	私は占い師。あなたに特別なメッセージがあります。今、運命があなたを待っています。あなたは自分の真の可能性を発揮するために旅に出なければなりません。人生の真の目的を見つける準備はできていますか？	저는 점쟁이입니다. 여러분께 전달할 특별한 메시지가 있습니다. 지금 여러분의 운명은 아직도 기다리고 있으며, 여러분은 진정한 잠재력을 실현하기 위한 여정을 시작해야 합니다. 인생의 진정한 목적을 발견할 준비가 되셨나요?	Anonymous call	
969	Chúng tôi gọi từ một phòng tập thể hình địa phương, và chúng tôi muốn giúp bạn có một thân hình cân đối, giảm cân và đạt được mục tiêu thể chất của mình. Chúng tôi cung cấp thẻ hội viên dùng thử miễn phí và một buổi huấn luyện cá nhân để bạn bắt đầu.	Ми дзвонимо з місцевого спортзалу і хочемо допомогти вам привести себе у форму, схуднути і досягти вашої мети у фізичному розвитку. Ми пропонуємо безкоштовний пробний абонемент і персональне тренування для початку.	シェイプアップ、ダイエット、フィットネスの目標を達成するお手伝いをしております地元のジムからお電話させていただいております。無料の体験入会と個別トレーニングのセッションをご用意しておりますので、いかがでしょうか。	안녕하세요, 헬스장입니다. 몸매를 가꾸고 체중을 감량하며 피트니스 목표를 달성할 수 있도록 도와드리고 싶습니다. 우선 무료 체험 멤버십과 PT 세션을 통해 시작하실 수도 있어요.	Call	
970	Bạn nhận được cuộc gọi từ một người bạn tuyên bố đã trúng xổ số và muốn chia sẻ tiền thưởng với bạn. Bạn phấn khích và bắt đầu mơ về tất cả những thứ bạn sẽ mua bằng phần tiền của mình, nhưng sau đó bạn của bạn nhận ra rằng vé số của anh ấy đã hết hạn.	Вам телефонує друг, який стверджує, що виграв у лотерею і хоче поділитися з вами призом. Ви радієте і починаєте мріяти про всі речі, які ви купите на свою частку грошей, але потім ваш друг розуміє що його лотерейний білет вже прострочений.	宝くじに当たったという友人から電話があり、賞金を山分けしたいと言われました。あなたは興奮して、自分の分け前で買いたいとおもうものすべてを想像し始めますが、友人が宝くじがすでに期限切れであることに気づきました。	자기가 복권에 당첨되었다며 당첨금을 나누자는 친구의 전화가 걸려 왔습니다. 당신도 절로 신이 나서 당첨금으로 뭘 살지 꼽아보기 시작하지만, 이 친구는 복권이 이미 만료되었다는 사실을 깨닫고 말았습니다.	In-game message	
971	Bạn nhận được cuộc gọi đùa từ một người bạn giả vờ là một đô vật sumo nổi tiếng, xin bạn giúp đỡ tập luyện cho một trận đấu sắp tới với một đô vật đối thủ. Họ khăng khăng rằng bạn cần cho họ ăn thật nhiều để giúp họ tăng cân.	Ви отримуєте жартівливий дзвінок від друга, який видає себе за відомого борця сумо, і просить вас допомогти йому підготуватися до майбутнього поєдинку з суперником-сумоїстом. Він наполягає на тому, що ви повинні нагодувати його великою кількістю їжі, щоб допомогти йому набрати вагу.	有名力士のふりをした友人からいたずら電話がかかってきました。ライバル力士との対戦に向けた稽古を手伝ってほしい、ついては、力士たちをもっと太らせるために大量の食べ物をおごってほしいとせがまれます。	자기가 유명 스모 선수라면서 앞으로 다가올 라이벌 스모 선수와의 시합을 위해 훈련을 도와달라는 친구의 장난 전화가 왔습니다. 몸집을 불리려면 일단 밥부터 많이 사줘야 한다네요.	In-game message	
972	Mẹ rất tự hào về tất cả những gì con đã đạt được trên thị trường chứng khoán. Để thành công trong kinh doanh cần rất nhiều can đảm và nỗ lực, và con đã chứng minh rằng con có những điều đó. Chỉ cần nhớ chăm sóc bản thân và đừng làm việc quá sức. Sức khỏe của con quan trọng hơn bất kỳ số tiền nào. Mẹ luôn yêu con.	Я так пишаюся тим, чого ти досяг на фондовому ринку. Щоб досягти успіху в бізнесі, потрібно багато сміливості та наполегливої праці, і ти довів, що маєш все необхідне. Тільки не забувай піклуватися про себе і не перевтомлюйся. Твоє здоров'я важливіше за будь-які гроші. Люблю тебе безмежно.	あなたが株式市場で成し遂げたことをとても誇りに思いますよ。ビジネスで成功するには多くの勇気と努力が必要ですが、あなたはそれがあることを自ら証明したんです。ただ、体に気をつけて、無理をしないように。どんな大金よりも健康が大切です。愛を込めて。	네가 주식으로 대성했다니 너무너무 자랑스럽다. 원래 사업에서 성공하려면 용기도 노력도 많이 필요한데, 넌 전부 증명해 보였잖니. 그래도 몸조심하고 무리하지는 말렴. 돈이 아무리 많아도 건강을 잃으면 하등 쓸데없는 거다. 항상 사랑한다.	Messages from mother	
